Hotel,Categoria,Avaliação,Total_Avaliacoes,Preço_Min_BRL,Preço_Max_BRL,Localização,Bairro,Telefone,Principais_Comodidades,URL,Destaques,Recomendação,Dentro_Orçamento
Alma Historica Boutique Hotel,4 estrelas,4.6,221,500,700,"Solís 1433, Centro",Centro,+598 2914 7450,"Terraço cobertura, Banheira hidromassagem externa",https://almahistoricahotel.com,Mansão art nouveau,Fora do orçamento - opção premium,Não
After Hotel Montevideo,4 estrelas,4.4,1760,400,500,Pocitos - Arturo Prat 3755,Pocitos,+598 2628 2828,"Piscina cobertura, Restaurante, Café/bar elegante, Quartos modernos",http://www.afterhotel.com.uy,"Hotel moderno, piscina externa na cobertura",Melhor avaliação no orçamento,Sim
Regency Way Montevideo Hotel,4 estrelas,4.4,3613,400,550,Av.Gral Rivera 3377,Parque Rodó,+598 2628 7777,"Academia, Piscina externa, WiFi, Café manhã",https://www.regencyway.com.uy,Hotel casual completo,Fora do orçamento mas excelente opção,Não
Puerto Mercado Hotel,3 estrelas,4.3,1014,300,450,"Cerrito 262, Ciudad Vieja",Ciudad Vieja (Centro Histórico),+598 2916 6116,"Bar, Lounge, Café manhã incluso",http://www.puertomercadohotel.com.uy,"Perto Mercado del Puerto, ótimo preço",Melhor custo-benefício centro histórico,Sim
Pocitos Plaza Hotel,4 estrelas,4.3,2015,350,500,"Juan Benito Blanco 640, Pocitos",Pocitos,+598 2712 3939,"Terraço cobertura, Centro conferências, LGBTQ+ friendly",https://www.pocitosplazahotel.com.uy,"Bairro residencial seguro, terraço panorâmico",Melhor para bairro tranquilo,Sim
Don Boutique Hotel Montevideo,4 estrelas,4.3,421,450,500,"Piedras 234, Ciudad Vieja",Ciudad Vieja (Centro Histórico),+598 2915 9999,"Bar cobertura, Restaurante, Piscina, Suítes elegantes",http://www.donhotel.com.uy,Hotel boutique elegante no centro histórico,Melhor boutique no centro histórico,Sim
Esplendor by Wyndham Montevideo Cervantes,3 estrelas,4.2,2169,300,450,"Soriano 868, Centro",Centro,+598 2900 1900,"Piscina coberta, Academia, Café manhã incluso",https://esplendorcervantes.com,"Construção histórica 1920, excelente custo-benefício",Melhor economia com qualidade,Sim
Hotel Dazzler Montevideo,4 estrelas,4.2,4541,350,500,21 de Setiembre 2752,Pocitos,+598 2716 0000,"Piscina externa, Spa, Buffet café manhã, Quartos modernos",https://dazzlermontevideo.com,Hospedagem refinada com spa,Melhor para relaxamento (spa incluso),Sim
Holiday Inn Montevideo,4 estrelas,4.2,1826,350,500,"Colonia 823, Centro",Centro,+598 902 0001,"Piscina coberta, Academia, Restaurante, Bar lobby",https://www.ihg.com/holidayinn/hotels/us/en/montevideo/mvduy/hoteldetail,"Centro de conferências, LGBTQ+ friendly",Melhor rede internacional confiável,Sim
NH Montevideo Columbia,4 estrelas,4.2,3703,350,500,"Reconquista 470, Ciudad Vieja",Ciudad Vieja (Centro Histórico),+598 2916 0001,"Restaurante, Terraço, Sauna, Vista rio",https://www.nh-hotels.com/en/hotel/nh-montevideo-columbia,"Vista para o Rio de la Plata, propriedade elegante",Melhor vista rio no centro histórico,Sim
